,k,lrpca_time,tn,fp,fn,tp
0,100,1.7483181953430176,8639994,6,0,0
1,100,1.7712421417236328,8639985,15,0,0
2,100,1.7843594551086426,8639937,63,0,0
3,100,1.781672477722168,8493614,46417,40446,59523
4,100,1.7704558372497559,8446951,56893,43867,92289
5,100,1.7785720825195312,8497520,37518,26020,78942
6,100,1.7721540927886963,8457292,65062,6350,111296
7,100,1.7801995277404785,8637590,403,1765,242
8,100,1.726625680923462,8561244,14563,27134,37059
9,100,1.786266565322876,8485810,54967,24597,74626
10,99,1.7090182304382324,8494512,12382,14512,32194
