,N,t,CD_mse,DS_mse,GPA_CD_mse,GPA_DS_mse,CD_time,DS_time,GPA_CD_time,GPA_DS_time
0,100,0,0.12144168,0.017990598,0.12066423,0.017967021,0.40677317142486585,0.40835422039032,0.0009168219566345212,0.0004736208915710449
1,100,1,0.11767567,0.016189197,0.11690011,0.01601287,0.40591536283493057,0.4072584486007691,0.0005201363563537596,0.00047492742538452154
2,100,2,0.12843542,0.017265435,0.1275156,0.017177273,0.40978323459625254,0.4111778092384338,0.0005207991600036623,0.0004762268066406251
3,100,3,0.119509995,0.016508365,0.11874619,0.016486779,0.3983444499969483,0.3997043633460997,0.0005172133445739746,0.00047370910644531236
4,100,4,0.118948564,0.017294299,0.11844106,0.017419234,0.4100402021408081,0.4114411950111387,0.0005284357070922854,0.00048598289489746075
5,100,5,0.12913659,0.018439895,0.12820955,0.018186973,0.4023993539810183,0.40376328945159917,0.000517277717590332,0.00047383546829223635
6,100,6,0.1172354,0.016487509,0.116646275,0.016509019,0.40251396656036376,0.4038775277137756,0.0005194950103759765,0.00047882556915283185
7,100,7,0.1216791,0.016995423,0.12097131,0.016929824,0.40468408584594734,0.4060375332832337,0.0005139923095703124,0.00047292232513427727
8,100,8,0.11432138,0.016441401,0.11372715,0.016446069,0.41546846628189094,0.4168613076210022,0.0005341839790344238,0.0004884099960327148
9,100,9,0.11220462,0.016842395,0.11151825,0.016837737,0.39527357339859015,0.39662083148956306,0.0005106687545776366,0.00046648979187011717
10,100,10,0.11680515,0.018872906,0.11599289,0.018684622,0.4113266801834106,0.412727348804474,0.0005476021766662598,0.0005013656616210938
11,100,11,0.115073524,0.016805382,0.114448816,0.016752059,0.40972397565841684,0.41109158277511615,0.0005278682708740233,0.0004876899719238279
12,100,12,0.11294951,0.017203437,0.11213303,0.01695983,0.3927689862251283,0.3941286611557006,0.0005239605903625487,0.0004766631126403808
13,100,13,0.11613768,0.016225364,0.11549555,0.016208239,0.38889141798019405,0.39023853778839124,0.0005120730400085448,0.0004681372642517093
