,dataset,index,gpa_time,tn,fp,fn,tp
0,pedestrians,0,0.008175373077392578,85619,781,0,0
1,pedestrians,1,0.006755352020263672,85802,598,0,0
2,pedestrians,2,0.006700277328491211,85610,790,0,0
3,pedestrians,3,0.006635189056396484,85711,689,0,0
4,pedestrians,4,0.006591796875,85399,1001,0,0
5,pedestrians,5,0.006722688674926758,85315,1085,0,0
6,pedestrians,6,0.009613513946533203,85164,1236,0,0
7,pedestrians,7,0.009563446044921875,85100,1300,0,0
8,pedestrians,8,0.006748676300048828,85388,1012,0,0
9,pedestrians,9,0.007637739181518555,85610,790,0,0
10,pedestrians,10,0.006628274917602539,85545,855,0,0
11,pedestrians,11,0.006560325622558594,85335,1065,0,0
12,pedestrians,12,0.006618976593017578,85194,1206,0,0
13,pedestrians,13,0.007558345794677734,85729,671,0,0
14,pedestrians,14,0.009030342102050781,85479,921,0,0
15,pedestrians,15,0.00968790054321289,85608,792,0,0
16,pedestrians,16,0.006847858428955078,85522,878,0,0
17,pedestrians,17,0.007961750030517578,85293,1107,0,0
18,pedestrians,18,0.008493900299072266,85336,1064,0,0
19,pedestrians,19,0.008369684219360352,85317,1083,0,0
20,pedestrians,20,0.006680488586425781,85370,1030,0,0
21,pedestrians,21,0.007792472839355469,85416,984,0,0
22,pedestrians,22,0.008859872817993164,85599,801,0,0
23,pedestrians,23,0.009709835052490234,85508,892,0,0
24,pedestrians,24,0.008805036544799805,85366,1034,0,0
25,pedestrians,25,0.0076754093170166016,85297,1103,0,0
26,pedestrians,26,0.006566762924194336,85199,1201,0,0
27,pedestrians,27,0.009344100952148438,85293,1107,0,0
28,pedestrians,28,0.006585836410522461,85323,1077,0,0
29,pedestrians,29,0.009480476379394531,85324,1076,0,0
30,pedestrians,30,0.006880760192871094,85071,1329,0,0
31,pedestrians,31,0.0065593719482421875,85271,1129,0,0
32,pedestrians,32,0.008488655090332031,85243,1157,0,0
33,pedestrians,33,0.009593725204467773,85296,1104,0,0
34,pedestrians,34,0.009663820266723633,85693,707,0,0
35,pedestrians,35,0.006651163101196289,85379,1021,0,0
36,pedestrians,36,0.006613969802856445,85458,942,0,0
37,pedestrians,37,0.0072650909423828125,85289,1111,0,0
38,pedestrians,38,0.006591081619262695,85256,1144,0,0
39,pedestrians,39,0.006615877151489258,85540,860,0,0
40,pedestrians,40,0.0071260929107666016,85477,923,0,0
41,pedestrians,41,0.00897216796875,85120,1280,0,0
42,pedestrians,42,0.008496284484863281,85378,1022,0,0
43,pedestrians,43,0.007918596267700195,85461,939,0,0
44,pedestrians,44,0.006639003753662109,85428,972,0,0
45,pedestrians,45,0.006631135940551758,85382,1018,0,0
46,pedestrians,46,0.0067272186279296875,85330,1070,0,0
47,pedestrians,47,0.006617307662963867,85038,1362,0,0
48,pedestrians,48,0.00662684440612793,85123,1277,0,0
49,pedestrians,49,0.006600618362426758,85381,1019,0,0
50,pedestrians,50,0.006666898727416992,85230,1170,0,0
51,pedestrians,51,0.00661778450012207,85647,753,0,0
52,pedestrians,52,0.009429693222045898,85490,910,0,0
53,pedestrians,53,0.0067174434661865234,85390,1010,0,0
54,pedestrians,54,0.0072057247161865234,85638,762,0,0
55,pedestrians,55,0.006604671478271484,85380,1020,0,0
56,pedestrians,56,0.008605003356933594,85632,768,0,0
57,pedestrians,57,0.008262395858764648,85557,843,0,0
58,pedestrians,58,0.006925106048583984,85588,812,0,0
59,pedestrians,59,0.006666898727416992,85628,772,0,0
60,pedestrians,60,0.0074350833892822266,86012,388,0,0
61,pedestrians,61,0.006693840026855469,85444,956,0,0
62,pedestrians,62,0.006997823715209961,85455,945,0,0
63,pedestrians,63,0.008690595626831055,85814,586,0,0
64,pedestrians,64,0.006675243377685547,85747,653,0,0
65,pedestrians,65,0.006663322448730469,85809,591,0,0
66,pedestrians,66,0.007654905319213867,85471,929,0,0
67,pedestrians,67,0.007432460784912109,85632,768,0,0
68,pedestrians,68,0.006648063659667969,85505,895,0,0
69,pedestrians,69,0.006579875946044922,85636,764,0,0
70,pedestrians,70,0.007434368133544922,85610,790,0,0
71,pedestrians,71,0.009101629257202148,85614,786,0,0
72,pedestrians,72,0.008282899856567383,85663,737,0,0
73,pedestrians,73,0.00713348388671875,85089,1311,0,0
74,pedestrians,74,0.00663447380065918,85027,1373,0,0
75,pedestrians,75,0.009015083312988281,85085,1315,0,0
76,pedestrians,76,0.007115840911865234,85103,1297,0,0
77,pedestrians,77,0.009549617767333984,85575,825,0,0
78,pedestrians,78,0.0068836212158203125,85810,590,0,0
79,pedestrians,79,0.0065805912017822266,85071,1329,0,0
80,pedestrians,80,0.006582498550415039,85739,661,0,0
81,pedestrians,81,0.0066034793853759766,85569,831,0,0
82,pedestrians,82,0.007393598556518555,85456,944,0,0
83,pedestrians,83,0.00786137580871582,85623,777,0,0
84,pedestrians,84,0.0066072940826416016,85802,598,0,0
85,pedestrians,85,0.009553670883178711,86044,356,0,0
86,pedestrians,86,0.007109880447387695,85864,536,0,0
87,pedestrians,87,0.009334564208984375,85828,572,0,0
88,pedestrians,88,0.00837254524230957,85855,545,0,0
89,pedestrians,89,0.009481668472290039,85807,593,0,0
90,pedestrians,90,0.00658869743347168,85835,565,0,0
91,pedestrians,91,0.007002592086791992,85815,585,0,0
92,pedestrians,92,0.00949549674987793,85802,598,0,0
93,pedestrians,93,0.008911609649658203,85290,1110,0,0
94,pedestrians,94,0.0070650577545166016,85774,626,0,0
95,pedestrians,95,0.007157325744628906,85855,545,0,0
96,pedestrians,96,0.007674694061279297,85039,1361,0,0
97,pedestrians,97,0.0073089599609375,85829,571,0,0
98,pedestrians,98,0.0068361759185791016,85543,857,0,0
99,pedestrians,99,0.0065271854400634766,86194,206,0,0
100,pedestrians,100,0.0064122676849365234,86164,236,0,0
101,pedestrians,101,0.006426572799682617,86174,226,0,0
102,pedestrians,102,0.0068552494049072266,86218,182,0,0
103,pedestrians,103,0.006805896759033203,86400,0,0,0
104,pedestrians,104,0.0066356658935546875,86194,206,0,0
105,pedestrians,105,0.007691144943237305,86140,260,0,0
106,pedestrians,106,0.00776219367980957,85935,465,0,0
107,pedestrians,107,0.009142398834228516,85956,444,0,0
108,pedestrians,108,0.008163690567016602,86211,189,0,0
109,pedestrians,109,0.006612062454223633,85843,557,0,0
110,pedestrians,110,0.006938934326171875,86149,251,0,0
111,pedestrians,111,0.007832050323486328,86400,0,0,0
112,pedestrians,112,0.007884740829467773,86149,251,0,0
113,pedestrians,113,0.006850242614746094,86154,246,0,0
114,pedestrians,114,0.007153034210205078,86139,261,0,0
115,pedestrians,115,0.006518840789794922,86161,239,0,0
116,pedestrians,116,0.006473064422607422,86400,0,0,0
117,pedestrians,117,0.0067713260650634766,86148,252,0,0
118,pedestrians,118,0.006528377532958984,86400,0,0,0
119,pedestrians,119,0.006357669830322266,86183,217,0,0
