,dataset,k,sssr_time,middle_f1,tn,fp,fn,tp
0,pedestrians,100,234.51418209075928,0.0,8639991,9,0,0
1,pedestrians,100,237.97313261032104,0.0,8640000,0,0,0
2,pedestrians,100,229.60167169570923,0.0,8640000,0,0,0
3,pedestrians,100,145.49493622779846,0.6137811233352635,8515268,24763,48901,51068
4,pedestrians,100,146.35545134544373,0.7485970819304153,8473357,30487,63421,72735
5,pedestrians,100,156.01746916770935,0.7096273291925466,8504092,30946,31376,73586
6,pedestrians,100,139.72604608535767,0.7929216867469879,8480198,42156,12168,105478
7,pedestrians,100,204.00294661521912,0.0,8637042,951,120,1887
8,pedestrians,100,160.66664457321167,0.7132725430597772,8561361,14446,18982,45211
9,pedestrians,100,153.20477843284607,0.7539543057996484,8516959,23818,22976,76247
10,pedestrians,99,154.74438285827637,0.719626168224299,8493793,13101,6682,40024
