,dataset,index,gpa_time,tn,fp,fn,tp
0,pedestrians,0,0.010389328002929688,85759,641,0,0
1,pedestrians,1,0.00715184211730957,84989,1411,0,0
2,pedestrians,2,0.007135152816772461,85178,1222,0,0
3,pedestrians,3,0.0070726871490478516,85104,1296,0,0
4,pedestrians,4,0.006990194320678711,85124,1276,0,0
5,pedestrians,5,0.00705409049987793,85197,1203,0,0
6,pedestrians,6,0.00708460807800293,85331,1069,0,0
7,pedestrians,7,0.007056474685668945,85031,1369,0,0
8,pedestrians,8,0.007035255432128906,84906,1494,0,0
9,pedestrians,9,0.00704646110534668,85256,1144,0,0
10,pedestrians,10,0.007006168365478516,85022,1378,0,0
11,pedestrians,11,0.007040977478027344,85042,1358,0,0
12,pedestrians,12,0.007039308547973633,85188,1212,0,0
13,pedestrians,13,0.0071337223052978516,85121,1279,0,0
14,pedestrians,14,0.007047176361083984,85042,1358,0,0
15,pedestrians,15,0.006947755813598633,85802,598,0,0
16,pedestrians,16,0.007002592086791992,85322,1078,0,0
17,pedestrians,17,0.007006406784057617,85086,1314,0,0
18,pedestrians,18,0.0070612430572509766,85197,1203,0,0
19,pedestrians,19,0.0069599151611328125,85338,1062,0,0
20,pedestrians,20,0.007009029388427734,85485,915,0,0
21,pedestrians,21,0.006969451904296875,85541,859,0,0
22,pedestrians,22,0.006967067718505859,85331,1069,0,0
23,pedestrians,23,0.006994009017944336,85430,970,0,0
24,pedestrians,24,0.006992340087890625,85316,1084,0,0
25,pedestrians,25,0.007024288177490234,85133,1267,0,0
26,pedestrians,26,0.006910562515258789,84995,1405,0,0
27,pedestrians,27,0.006968021392822266,84912,1488,0,0
28,pedestrians,28,0.007037162780761719,84682,1718,0,0
29,pedestrians,29,0.007125377655029297,85019,1381,0,0
30,pedestrians,30,0.007031917572021484,85025,1375,0,0
31,pedestrians,31,0.00701451301574707,85042,1358,0,0
32,pedestrians,32,0.006953001022338867,85433,967,0,0
33,pedestrians,33,0.007044792175292969,85096,1304,0,0
34,pedestrians,34,0.006964683532714844,85718,682,0,0
35,pedestrians,35,0.007115602493286133,85221,1179,0,0
36,pedestrians,36,0.007027149200439453,85135,1265,0,0
37,pedestrians,37,0.007080554962158203,84889,1511,0,0
38,pedestrians,38,0.006973981857299805,85261,1139,0,0
39,pedestrians,39,0.006944179534912109,85455,945,0,0
40,pedestrians,40,0.00701904296875,85563,837,0,0
41,pedestrians,41,0.007004261016845703,85284,1116,0,0
42,pedestrians,42,0.007027149200439453,85273,1127,0,0
43,pedestrians,43,0.0071201324462890625,85204,1196,0,0
