,k,sssr_time,tn,fp,fn,tp
0,100,287.9677379131317,8639991,9,0,0
1,100,276.7103977203369,8640000,0,0,0
2,100,252.653546333313,8640000,0,0,0
3,100,161.1597034931183,8511476,28555,47086,52883
4,100,157.00962114334106,8469010,34834,60030,76126
5,100,162.41557002067566,8499063,35975,26941,78021
6,100,150.2582643032074,8474673,47681,11495,106151
7,100,233.72933721542358,8637014,979,83,1924
8,100,187.10040092468262,8559679,16128,16247,47946
9,100,170.37887859344482,8512531,28246,19553,79670
10,99,178.1436402797699,8491809,15085,5466,41240
