,dataset,k,sssr_time,middle_f1,tn,fp,fn,tp
0,pedestrians,100,238.3463649749756,0.0,8639991,9,0,0
1,pedestrians,100,243.7483332157135,0.0,8640000,0,0,0
2,pedestrians,100,234.25573873519897,0.0,8640000,0,0,0
3,pedestrians,100,156.28093338012695,0.609375,8511191,28840,47315,52654
4,pedestrians,100,149.31193232536316,0.7485970819304153,8469671,34173,60065,76091
5,pedestrians,100,195.16318082809448,0.7401685393258428,8497541,37497,25366,79596
6,pedestrians,100,154.67391562461853,0.7486669036615713,8474575,47779,11267,106379
7,pedestrians,100,229.98052382469177,0.0,8636965,1028,88,1919
8,pedestrians,100,173.7374939918518,0.7200397812033814,8559657,16150,16343,47850
9,pedestrians,100,162.83355450630188,0.7539543057996484,8513000,27777,19792,79431
10,pedestrians,99,166.0164439678192,0.719626168224299,8491598,15296,5383,41323
